doc_id,state,source_path,time_sec,py_peak_mem_mb,rss_before_mb,rss_after_mb,rss_delta_mb,had_error
Arizona/Arizona_4,Arizona,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_4.txt,2.5475504000205547,0.057562828063964844,59.82421875,59.82421875,0.0,False
Arizona/Arizona_5,Arizona,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_5.txt,2.5949671999551356,0.07600021362304688,59.82421875,59.84375,0.01953125,False
Arizona/Arizona_6,Arizona,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_6.txt,2.604289700044319,0.08335399627685547,59.84765625,59.84765625,0.0,False
Arizona/Arizona_7,Arizona,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_7.txt,2.511041200021282,0.05306529998779297,59.84765625,59.84765625,0.0,False
Arizona/Arizona_8,Arizona,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_8.txt,3.534052799921483,0.2206735610961914,59.84765625,59.86328125,0.015625,False
Arizona/Arizona_9,Arizona,d:\NLP_Project_tasks_6_8_11\OCR_output\Arizona\Arizona_9.txt,2.5560249998234212,0.06413745880126953,59.8671875,59.87109375,0.00390625,False
Arkansas/Arkansas_1,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_1.txt,2.655003499938175,0.06971263885498047,59.87109375,59.8828125,0.01171875,False
Arkansas/Arkansas_10,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_10.txt,2.3315076001454145,0.039519309997558594,59.8828125,59.8828125,0.0,False
Arkansas/Arkansas_2,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_2.txt,2.44431889988482,0.040244102478027344,59.8828125,59.88671875,0.00390625,False
Arkansas/Arkansas_3,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_3.txt,2.317091600038111,0.0492401123046875,59.890625,59.890625,0.0,False
Arkansas/Arkansas_4,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_4.txt,2.6659645999316126,0.07470417022705078,59.890625,59.90625,0.015625,False
Arkansas/Arkansas_5,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_5.txt,3.022405599942431,0.07926082611083984,59.90625,59.91796875,0.01171875,False
Arkansas/Arkansas_6,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_6.txt,2.69823360000737,0.039798736572265625,59.91796875,59.92578125,0.0078125,False
Arkansas/Arkansas_7,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_7.txt,2.4228312999475747,0.040213584899902344,59.92578125,59.9296875,0.00390625,False
Arkansas/Arkansas_8,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_8.txt,2.5224571998696774,0.04001331329345703,59.9296875,59.93359375,0.00390625,False
Arkansas/Arkansas_9,Arkansas,d:\NLP_Project_tasks_6_8_11\OCR_output\Arkansas\Arkansas_9.txt,4.211492200149223,0.2943258285522461,59.93359375,59.94921875,0.015625,False
California/1 (5),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1 (5).txt,3.394319900078699,0.20630359649658203,59.94921875,59.953125,0.00390625,False
California/1 (CA - Chille),California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\1 (CA - Chille).txt,2.813877300126478,0.07059669494628906,105.74609375,105.74609375,0.0,False
California/110242023,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\110242023.txt,2.8728716999758035,0.09960365295410156,105.74609375,105.7578125,0.01171875,False
California/110252023,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\110252023.txt,2.912058599991724,0.10166263580322266,105.7578125,105.7578125,0.0,False
California/110262023,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\110262023.txt,2.7349177000578493,0.08676624298095703,105.7578125,105.7578125,0.0,False
California/110282023,California,d:\NLP_Project_tasks_6_8_11\OCR_output\California\110282023.txt,2.940059900050983,0.11672401428222656,105.7578125,105.7578125,0.0,False
